::1 | 17/Dec/2024:21:35:18 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 6.820ms
::1 | 17/Dec/2024:21:35:18 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.612ms
::1 | 17/Dec/2024:21:35:18 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.485ms
::1 | 17/Dec/2024:21:35:18 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.338ms
::1 | 17/Dec/2024:21:35:18 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.801ms
::1 | 17/Dec/2024:21:35:18 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 4.132ms
::1 | 17/Dec/2024:21:36:09 +0000 | GET | /bookLoans | Auth Provided: No | Request Type: other | Files Provided: No | 404 | 14.601ms
::1 | 17/Dec/2024:21:36:43 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 5.221ms
::1 | 17/Dec/2024:21:36:43 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.571ms
::1 | 17/Dec/2024:21:36:43 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.050ms
::1 | 17/Dec/2024:21:36:43 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.421ms
::1 | 17/Dec/2024:21:36:43 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 4.680ms
::1 | 17/Dec/2024:21:36:43 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.896ms
::1 | 17/Dec/2024:21:36:59 +0000 | GET | /bookLoans | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 36.642ms
::1 | 17/Dec/2024:21:37:09 +0000 | GET | /bookLoans/1 | Auth Provided: No | Request Type: other | Files Provided: No | 404 | 4.541ms
::1 | 17/Dec/2024:21:37:32 +0000 | POST | /bookLoans/overdue | Auth Provided: No | Request Type: JSON | Files Provided: No | 200 | 248.939ms
::1 | 17/Dec/2024:21:37:43 +0000 | POST | /bookLoans/borrow | Auth Provided: No | Request Type: JSON | Files Provided: No | 404 | 19.354ms
::1 | 17/Dec/2024:21:39:12 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 6.100ms
::1 | 17/Dec/2024:21:39:12 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.690ms
::1 | 17/Dec/2024:21:39:12 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.650ms
::1 | 17/Dec/2024:21:39:12 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.913ms
::1 | 17/Dec/2024:21:39:12 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.960ms
::1 | 17/Dec/2024:21:39:12 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.446ms
::1 | 17/Dec/2024:21:39:16 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.063ms
::1 | 17/Dec/2024:21:39:16 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.382ms
::1 | 17/Dec/2024:21:39:16 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.544ms
::1 | 17/Dec/2024:21:39:16 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.489ms
::1 | 17/Dec/2024:21:39:16 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.334ms
::1 | 17/Dec/2024:21:39:16 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.558ms
::1 | 17/Dec/2024:21:39:19 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.488ms
::1 | 17/Dec/2024:21:39:19 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.295ms
::1 | 17/Dec/2024:21:39:19 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 3.598ms
::1 | 17/Dec/2024:21:39:19 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.589ms
::1 | 17/Dec/2024:21:39:19 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.740ms
::1 | 17/Dec/2024:21:39:19 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.766ms
::1 | 17/Dec/2024:21:39:42 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.594ms
::1 | 17/Dec/2024:21:39:42 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 0.217ms
::1 | 17/Dec/2024:21:39:42 +0000 | GET | /api-docs/swagger-ui-bundle.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.856ms
::1 | 17/Dec/2024:21:39:42 +0000 | GET | /api-docs/swagger-ui.css | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.639ms
::1 | 17/Dec/2024:21:39:42 +0000 | GET | /api-docs/swagger-ui-standalone-preset.js | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 2.176ms
::1 | 17/Dec/2024:21:39:42 +0000 | GET | /api-docs/favicon-32x32.png | Auth Provided: No | Request Type: other | Files Provided: No | 304 | 1.279ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/ | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.797ms
::1 | 17/Dec/2024:21:39:55 +0000 | GET | /api-docs/swagger-ui-init.js | Auth Provided: No | Request Type: other | Files Provided: No | 200 | 0.313ms
